PartyID,PartyName,LicenseTypeID,LicenseType,SM1_Name,SM3_Name,City,Cases,TrueChannel,Verdict,Notes
D01027,WADKAR WINES,180001,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,  2A,15.0,KW Beer,,
D00047,VEENIT WINES.(CHAJED & SONS) (KHED),180001,FL II (Wine shop),Z SANJAY NAGPAL,SURESH NAIR,PUNE,15.0,KW Beer,,
D01736,SUPARA WINES,180001,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,PUNE,15.0,KW Beer,,
D07301,SUPER WINE AND BEER SHOPEE,180004,Beer Shopee,,SURESH NAIR,PUNE,15.0,KW Beer,,
D02545,KINGS BEER SHOPPE ( PIMPRI ),180004,Beer Shopee,CROSS SUPPLY,SURESH NAIR,PUNE,15.0,KW Beer,,
D07230,A H BEER SHOPEE,180004,Beer Shopee,,SURESH NAIR,PUNE,15.0,KW Beer,,
D00279,RAJSHREE WINES (PAUD ROAD),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,  5A,15.0,KW Beer,,
D01861,RAHUL WINES(THERGAON),180001,FL II (Wine shop),Z SANJAY NAGPAL,SURESH NAIR,PUNE,15.0,KW Beer,,
D00462,KAVIRAJ WINES (AKURDI),180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,14.0,KW Beer,,
D07231,BARREL & CO(E N DADABHAI),180002,FL III (Permit Room),CROSS SUPPLY,SURESH NAIR,PUNE CITY,13.0,Institution,,
D01991,RAJA WINES.( DAPODI ),180001,FL II (Wine shop),,SURESH NAIR,PUNE,13.0,KW Beer,,
D00078,GHULE WINES (BAVDHAN),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,  5A,13.0,KW Beer,,
D00269,PUSHKAR WINES ( AKURDI ),180001,FL II (Wine shop),,SURESH NAIR,PUNE,13.0,KW Beer,,
D02265,SUNNY WINES ( BANER),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,PUNE,13.0,KW Beer,,
D00188,PRESIDENT PERMIT ROOM (HADAPSAR),180002,FL III (Permit Room),ATISH,SURESH NAIR,  2,12.8205,Institution,,
D00725,KUNDAN PALACE HOTEL,180002,FL III (Permit Room),Z NITIN KAPRE,SURESH NAIR,PUNE,12.8205,Institution,,
D00792,HEAVENS GARDEN (HARSH),180002,FL III (Permit Room),TULSIRAM,SURESH NAIR,  5A,12.8205,Institution,,
D07538,TERMINAL 9 HOTEL,180002,FL III (Permit Room),SAURABH,SURESH NAIR,PUNE,12.8205,Institution,,
D07513,KUNAL WINE AND DINE (JUNNAR),180002,FL III (Permit Room),CROSS SUPPLY,SURESH NAIR,PUNE CITY,12.0,Institution,,
D02699,RAJ WINES & WINE SHOPEE (WARJE) (SG),180004,Beer Shopee,TULSIRAM,SURESH NAIR,PUNE,11.0,KW Beer,,
