PartyID,PartyName,LicenseTypeID,LicenseType,Current_Salesmen,Cases_Last45Days,Cases_FY25_26,City,Pincode,Address,Verdict,Notes
D00073,FRENCH WINES (WANWADI),180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY Â· SM3=SURESH NAIR,0.0,30.0,  2,,"SHOP NO.4, BEHIND SHINDE'S CHATRI, WANOWARI,PUNE",,
D02663,G.B.BEER SHOPPE(CHINCHWAD),180004,Beer Shopee,SM1=Z SHANKAR SHINDE Â· SM3=SURESH NAIR,0.0,20.0,PUNE,,"67, PARAS COMPLEX, THERMAX CHOWK, CHINCHWAD",,
D07343,GAGAN HOTEL (INDAPUR),180002,FL III (Permit Room),SM2=DEEPAK PATIL Â· SM3=SURESH NAIR,0.0,0.0,PUNE CITY,,"TECHNICAL WALCHANDNAGAR , INDAPUR , DIST PUNE",,
D07733,GALAXY LAUNGE RESTAURANT LODGE ,180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,25.0,PUNE CITY,,"RAJ PARADISE SR NO 56 NAWALE HOSPITAL , DP ROAD NARHE ",,
D06834,GALAXY WINES (BANER),180001,FL II (Wine shop),SM1=SHASHANK Â· SM2=DEEPAK PATIL Â· SM3=SURESH NAIR,0.0,79.0,PUNE,,SHOP NO 9 STERLING TOWERS PAN CARD CLUB ROAD NEAR MALPANI IT PARK BANER PUNE,,
D00231,GALINDE WINES,180001,FL II (Wine shop),SM1=Z SHANKAR SHINDE Â· SM3=SURESH NAIR,0.0,5.0,PUNE,,"H.NO.124,GANGA NIVAS WARD NO.3.",,
D01762,GALLORD WINES(J R AGARWAL),180001,FL II (Wine shop),SM1=Z KISHOR CHANDAK Â· SM3=SURESH NAIR,0.0,150.0,PUNE,,"WAGHOLI, TAL- HAVELI, DIST- PUNE",,
D07452,GANDHARV BEER SHOPEE (MANCHAR),180004,Beer Shopee,SM3=SURESH NAIR,0.0,50.0,,,"Manchar,TA-AMBEGOAN,PUNE",,
D07466,GANPIR DARBAR GARDEN RESTAURANT (JUNNAR),180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,30.0,PUNE CITY,,"MILKAT NO 1133 , WARD NO 4 , PUNE NASHIK RD , WARULWADI",,
D07254,GAURAV BEER SHOPPE,180004,Beer Shopee,SM3=SURESH NAIR,0.0,0.0,,,"MILKAT NO 411/3, GAT NO. 287, CHOJGE COMPLEX, TAKWE BR., TAL.MAVAL, DIST.PUNE",,
D01267,GAYATRI BEER SHOPEE (KALYANI NAGAR),180004,Beer Shopee,SM3=SURESH NAIR,0.0,35.0,  5,,"SR NO. 3 SHINDE BUILDING WADGAON SHERI NAGAR RO NEAR SUNCITY, PUNE",,
D07438,GEETANJLI BEER SHOPEE (SANGHVI),180004,Beer Shopee,SM3=SURESH NAIR,0.0,100.0,,,SN 76 DWARKA APT. SHOP NO 4 SHIVAJI PARK NEW SANGHVI PUNE,,
D07048,GIRIJA  HOTEL (CHAKAN),180002,FL III (Permit Room),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,0.0,3.0,PUNE,,PLOT NO PAP  V R 12 PHASE MIDC  CHAKAN WASULI KHED PUNE,,
