PartyID,PartyName,LicenseType,SM1_Name,SM3_Name,City,Cases,ShouldBe,Verdict,Notes
D06760,K.R.BEER AND WINE SHOPEE(WAKAD),Beer Shopee,,SURESH NAIR,PUNE,7.0,KW Beer,,
D07216,ROYAL BEER SHOPEE (MULSHI),Beer Shopee,,SURESH NAIR,,6.0,KW Beer,,
D06871,WAGHADE WINES ( RAVET ),FL II (Wine shop),,SURESH NAIR,PUNE,6.0,KW Beer,,
D07213,SHARAYU BEER SHOPPY (DAPODI),Beer Shopee,,SURESH NAIR,PUNE,5.0,KW Beer,,
D01345,ARYAN BEER SHOPPY (KOTHRUD),Beer Shopee,,SURESH NAIR,PUNE,5.0,KW Beer,,
D07262,MEGHA HIGHWAY BEER SHOPEE,Beer Shopee,,SURESH NAIR,PUNE,5.0,KW Beer,,
D00040,C.R.AGARWAL WINES (KIRKEE),FL II (Wine shop),SHASHANK,SURESH NAIR,PUNE,4.0,KW Beer,,
D07251,PYASA BEER SHOPEE (TALWADE),Beer Shopee,,SURESH NAIR,PUNE,4.0,KW Beer,,
D07219,S. S. S. WINE & BEER SHOPEE,Beer Shopee,,SURESH NAIR,PUNE,4.0,KW Beer,,
D07196,SONA  COUNTRY BAR (DANGE CHOWK),CL III (OTHERS),,SURESH NAIR,,3.0,KW Beer,,
D07201,S S BEER SHOPEE (HINJEWADI),Beer Shopee,,SURESH NAIR,,3.0,KW Beer,,
D07233,THE THIRSTY HOPE BEER &WINE SHOP (KOTHRUD),Beer Shopee,,SURESH NAIR,PUNE,3.0,KW Beer,,
D06150,MAYUR BEER SHOPPE (PIMPRI),Beer Shopee,CROSS SUPPLY,SURESH NAIR,PUNE,2.0,KW Beer,,
D02518,UNITED WINES.(ABHAY WINES),FL II (Wine shop),,SURESH NAIR,PUNE,2.0,KW Beer,,
D02441,RASAGANDHA (GANDHARVA ) RESTAURANT (SHIVAJINAGAR),FL III (Permit Room),PRASHANT THORAT,SURESH NAIR,PUNE,2.0,Institution,,
D07202,SWARAJ BEER SHOPPE (RAHATANI),Beer Shopee,,SURESH NAIR,,2.0,KW Beer,,
D07044,SAB TONIQUE BEVEREGES LLP (TONIQUE),FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,PUNE,2.0,KW Beer,,
D02069,ANTIQUE WINES (PIMPLE SOU),FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,1.0,KW Beer,,
D06784,K S B WINE WOLD BEER SHOP,Beer Shopee,,SURESH NAIR,PUNE,1.0,KW Beer,,
